name	ORF	description	name_meaning
KRE27	YIL027C	"Member of conserved ER transmembrane complex; required for efficient folding of proteins in the ER; null mutant displays induction of the unfolded protein response, and also shows K1 killer toxin resistance; homologous to worm B0334.15/EMC-5, fly CG15168, human MMGT"	ER Membrane protein Complex
YIL029C	YIL029C		
YJL055W	YJL055W		
YJR011C	YJR011C		
YJR054W	YJR054W	"Potassium transporter that mediates K+ influx; activates high-affinity Ca2+ influx system (HACS) during mating pheromone response; expression up-regulated in response to alpha factor; localized to sites of polarized growth; member of a fungal-specific gene family; potential Cdc28p substrate; KCH1 has a paralog, PRM6, that arose from the whole genome duplication"	Potassium (K) regulator of CcH1
CSN12	YJR084W	Protein that forms a complex with Thp3p; may have a role in transcription elongation and/or mRNA splicing; identified as a COP9 signalosome component but phenotype and interactions suggest it may not be involved with the signalosome	
YKL023W	YKL023W		
AIM27	YKL207W	"Member of conserved ER transmembrane complex; required for efficient folding of proteins in the ER; required for respiratory growth; null mutant displays induction of the unfolded protein response; homologous to worm Y62E10A.10/EMC-3, fly CG6750, human TMEM111"	ER Membrane protein Complex
YKR043C	YKR043C	"Sedoheptulose bisphosphatase involved in riboneogenesis; dephosphorylates sedoheptulose 1,7-bisphosphate, which is converted via the nonoxidative pentose phosphate pathway to ribose-5-phosphate; facilitates the conversion of glycolytic intermediates to pentose phosphate units; also has fructose 1,6-bisphosphatase activity but this is probably not biologically relevant, since deletion does not affect FBP levels; GFP-fusion protein localizes to the cytoplasm and nucleus"	"SedoHeptulose 1,7-Bisphosphatase"
YKR096W	YKR096W	"hEST1A/B (SMG5/6)-like protein; contributes to environment-sensing adaptive gene expression responses; Esl2p and Esl1p contain a 14-3-3-like domain and a putative PilT N-terminus ribonuclease domain; interacts with Pex14p; may interact with ribosomes, based on co-purification experiments; green fluorescent protein (GFP)-fusion protein localizes to the nucleus and cytoplasm; ESL2 has a paralog, ESL1, that arose from the whole genome duplication"	EST/SMG-like
YLR177W	YLR177W	"Putative protein of unknown function; phosphorylated by Dbf2p-Mob1p in vitro; some strains contain microsatellite polymophisms at this locus; not an essential gene; YLR177W has a paralog, PSP1, that arose from the whole genome duplication"	
YLR426W	YLR426W		
YML108W	YML108W		
YML119W	YML119W		
YMR010W	YMR010W	Protein involved in phospholipid flippase function; null allele suppresses growth and membrane trafficking defects associated with all flippase null alleles; proposed function as a phospholipid scramblase that reduces membrane asymmetry; PQ loop family member; localizes to the endosome and trans-Golgi network; non-essential gene	Antagonizes Neo1 Yeast phospholipid flippase
YMR102C	YMR102C		
YMR111C	YMR111C		
YMR209C	YMR209C		
YNR065C	YNR065C		
YOR342C	YOR342C		
YPL041C	YPL041C	Protein that associates with mitochondrial ribosome; SWAT-GFP and mCherry fusion proteins localize to the mitochondria; involved in maintenance of telomere length	Mitochondrial oRganization of gene eXpression (MIOREX) 
YPL068C	YPL068C		
YPL113C	YPL113C		
YPL150W	YPL150W		
YPR022C	YPR022C		
YPR045C	YPR045C	Protein that may have a role in transcription elongation; forms a complex with Csn12p that is recruited to transcribed genes; possibly involved in splicing based on pre-mRNA accumulation defect for many intron-containing genes	THO-related Protein
YPR063C	YPR063C		
YPR084W	YPR084W		
YPR174C	YPR174C		
