well	Pi_conc	sensor_conc	date	data_file
F2	9	20	20190522	GTPase_assay/2018_data/20190522_20uM_sensor_calibration.txt
F3	6	20	20190522	GTPase_assay/2018_data/20190522_20uM_sensor_calibration.txt
F4	3	20	20190522	GTPase_assay/2018_data/20190522_20uM_sensor_calibration.txt
F5	1	20	20190522	GTPase_assay/2018_data/20190522_20uM_sensor_calibration.txt
F6	0.5	20	20190522	GTPase_assay/2018_data/20190522_20uM_sensor_calibration.txt
F7	0	20	20190522	GTPase_assay/2018_data/20190522_20uM_sensor_calibration.txt
E1	40	70	20190522	GTPase_assay/2018_data/20190522_70uM_sensor_calibration.txt
E2	30	70	20190522	GTPase_assay/2018_data/20190522_70uM_sensor_calibration.txt
E3	20	70	20190522	GTPase_assay/2018_data/20190522_70uM_sensor_calibration.txt
E4	15	70	20190522	GTPase_assay/2018_data/20190522_70uM_sensor_calibration.txt
E5	9	70	20190522	GTPase_assay/2018_data/20190522_70uM_sensor_calibration.txt
E6	0.5	70	20190522	GTPase_assay/2018_data/20190522_70uM_sensor_calibration.txt
E7	0	70	20190522	GTPase_assay/2018_data/20190522_70uM_sensor_calibration.txt
