node1	node2	pearson	greater_fdr
pab1-5001	nup57-e17	0.1803	0
pab1-5001	dsn1-7	0.1028	0.008269172932330827
pab1-5001	nup82-5005	0.1114	0.0035081339712918665
pab1-5001	smc3-1	0.116	0.0035081339712918665
pab1-5001	smc3-42	0.0934	0.020730357142857144
pab1-5001	nnf1-77	0.0937	0.01894285714285714
pab1-5001	kap95-e126k	0.1391	0
pab1-5001	med11-ts	0.2175	0
pab1-5001	rna1-1	0.1291	0
pab1-5001	rna1-s116f	0.158	0
pab1-5001	med7-163	0.0898	0.02395397727272727
pab1-5001	mex67-ts5	0.1057	0.00716015625
pab1-5001	ipl1-2	0.1737	0
pab1-5001	tfb4-5001	0.1153	0.0035081339712918665
pab1-5001	sgv1-23	0.1357	0
pab1-5001	sgv1-80	0.1155	0.0035081339712918665
pab1-5001	sgv1-35	0.1457	0
pab1-5001	nup60	0.0967	0.012385135135135136
pab1-5001	rxt2	0.1138	0.0035081339712918665
pab1-5001	nup84	0.1074	0.00716015625
pab1-5001	mcm21	0.0853	0.03439703703703704
pab1-5001	nup157	0.0977	0.009264259927797834
pab1-5001	mad1	0.111	0.0035081339712918665
pab1-5001	soh1	0.1116	0.0035081339712918665
pab1-5001	thp2	0.112	0.0035081339712918665
pab1-5001	sds3	0.0817	0.04436027397260274
pab1-5001	mad2	0.097	0.015373548387096774
pab1-5001	mog1	0.1013	0.010363250883392227
pab1-5001	nup188	0.1301	0
pab1-5001	sub1	0.0965	0.015373548387096774
pab1-5001	pom152	0.0839	0.037622434367541764
pab1-5001	nup53	0.1374	0
pab1-5001	sap30	0.13	0
pab1-5002	nup145-r4	0.1009	0.009575373134328357
pab1-5002	ceg1-34	0.1714	0
pab1-5002	cse1-5002	0.1634	0
pab1-5002	med6-ts	0.1361	0
pab1-5002	arc15-10	0.153	0
pab1-5002	cct2-5001	0.1424	0
pab1-5002	dsn1-8	0.0788	0.049923170731707316
pab1-5002	nup82-5005	0.1125	0.003684422110552764
pab1-5002	nup82-5004	0.1214	0.002059550561797753
pab1-5002	smc3-42	0.0834	0.03942837528604119
pab1-5002	kap95-e126k	0.0947	0.014518811881188117
pab1-5002	med11-ts	0.1196	0.002059550561797753
pab1-5002	rna1-s116f	0.1562	0
pab1-5002	med7-163	0.1628	0
pab1-5002	mex67-ts5	0.1147	0.003684422110552764
pab1-5002	ipl1-2	0.1714	0
pab1-5002	tfb4-5001	0.1231	0.002059550561797753
pab1-5002	sgv1-23	0.1813	0
pab1-5002	sgv1-80	0.1153	0.003684422110552764
pab1-5002	sgv1-35	0.1724	0
pab1-5002	rxt2	0.1343	0
pab1-5002	rxt3	0.1059	0.007451219512195122
pab1-5002	nup84	0.1243	0.002059550561797753
pab1-5002	chl4	0.0961	0.01894285714285714
pab1-5002	mcm21	0.0892	0.025458333333333333
pab1-5002	soh1	0.1083	0.005021917808219178
pab1-5002	hos2	0.1054	0.006213559322033898
pab1-5002	srb2	0.0953	0.01987590361445783
pab1-5002	sds3	0.1462	0
pab1-5002	mad2	0.086	0.032993999999999996
pab1-5002	cdc73	0.1656	0
pab1-5002	sub1	0.0861	0.03187826086956522
pab1-5002	nup53	0.0986	0.014518811881188117
pab1-5002	sap30	0.1441	0
pab1-5002	pho23	0.1187	0.002059550561797753
pab1-5002	caf40	0.1365	0
pab1-5002	ctf19	0.0959	0.017184375000000002
pab1-5002	elp4	0.1228	0.002059550561797753
smc1-2	smc1-259	0.5536	0
smc1-2	tub2-430	0.103	0.007188235294117646
smc1-2	spc105-15	0.3977	0
smc1-2	spc105-4	0.3546	0
smc1-2	srm1-g282s	0.1292	0
smc1-2	cse1-5002	0.0838	0.046905050505050505
smc1-2	dsn1-7	0.3983	0
smc1-2	dsn1-8	0.4305	0
smc1-2	smc3-1	0.508	0
smc1-2	smc3-42	0.59	0
smc1-2	nnf1-77	0.2323	0
smc1-2	smc4-1	0.0941	0.02184
smc1-2	kap95-e126k	0.1409	0
smc1-2	dbp5-1	0.093	0.02764047619047619
smc1-2	ipl1-2	0.2997	0
smc1-2	nsl1-6	0.2548	0
smc1-2	nup60	0.1242	0
smc1-2	ume6	0.1101	0.003984782608695652
smc1-2	chl4	0.2429	0
smc1-2	mcm21	0.2793	0
smc1-2	gle2	0.1566	0
smc1-2	mad1	0.3352	0
smc1-2	mad2	0.3875	0
smc1-2	ctf3	0.155	0
smc1-2	bub3	0.357	0
smc1-2	ctf19	0.1663	0
smc1-2	cin2	0.2026	0
smc1-259	spc105-15	0.4184	0
smc1-259	spc105-4	0.3766	0
smc1-259	srm1-g282s	0.1057	0.008101657458563536
smc1-259	srm1-ts	0.1516	0
smc1-259	cdc20-1	0.1061	0.008101657458563536
smc1-259	ceg1-34	0.0984	0.01842211055276382
smc1-259	cse1-5002	0.0995	0.01496326530612245
smc1-259	nup57-e17	0.1213	0.0022353658536585367
smc1-259	irr1-1	0.0877	0.04856666666666666
smc1-259	dsn1-7	0.3857	0
smc1-259	dsn1-8	0.4179	0
smc1-259	smc3-1	0.6127	0
smc1-259	smc3-42	0.6962	0
smc1-259	nnf1-77	0.1856	0
smc1-259	kap95-e126k	0.1047	0.00985483870967742
smc1-259	rna1-1	0.1033	0.01496326530612245
smc1-259	mex67-ts5	0.1262	0
smc1-259	ipl1-2	0.347	0
smc1-259	nsl1-6	0.2464	0
smc1-259	nup60	0.1407	0
smc1-259	chl4	0.2111	0
smc1-259	mcm21	0.2931	0
smc1-259	gle2	0.1559	0
smc1-259	mad1	0.3692	0
smc1-259	mad2	0.3996	0
smc1-259	ctf3	0.2033	0
smc1-259	bub3	0.3899	0
smc1-259	ctf19	0.2554	0
smc1-259	cin2	0.2073	0
tub2-430	act1-155	0.164	0
tub2-430	act1-124	0.1303	0
tub2-430	nup145-r4	0.1126	0.0038793650793650792
tub2-430	spc105-15	0.0825	0.041925
tub2-430	ceg1-ts	0.0946	0.018135689045936394
tub2-430	ceg1-34	0.1274	0
tub2-430	cse1-5002	0.1392	0
tub2-430	nup57-e17	0.3282	0
tub2-430	cct2-5001	0.1017	0.009165
tub2-430	dsn1-7	0.0828	0.04406700767263427
tub2-430	dsn1-8	0.1302	0
tub2-430	smc3-42	0.1266	0
tub2-430	cof1-8	0.1594	0
tub2-430	kap95-e126k	0.1627	0
tub2-430	rna1-s116f	0.1292	0
tub2-430	dbp5-1	0.1098	0.005391176470588234
tub2-430	ipl1-2	0.235	0
tub2-430	cet1-2	0.0989	0.013730337078651685
tub2-430	nup60	0.1097	0.0038793650793650792
tub2-430	sus1	0.1264	0
tub2-430	ccz1	0.2189	0
tub2-430	chl4	0.0896	0.03584078212290503
tub2-430	mcm21	0.0849	0.040513746630727765
tub2-430	gle2	0.0918	0.018896907216494844
tub2-430	boi2	0.1791	0
tub2-430	mad1	0.1607	0
tub2-430	mon1	0.2135	0
tub2-430	hos2	0.1241	0
tub2-430	fis1	0.2001	0
tub2-430	mad2	0.0887	0.03036923076923077
tub2-430	cap1	0.0825	0.043185863874345545
tub2-430	nup133	0.0808	0.04816642335766424
tub2-430	dnm1	0.1474	0
tub2-430	arc18	0.1232	0
tub2-430	ypt7	0.1435	0
tub2-430	nup188	0.1898	0
tub2-430	cin4	0.236	0
tub2-430	nup53	0.0977	0.017143165467625898
tub2-430	bni1	0.2318	0
tub2-430	ctf19	0.0828	0.0467415
tub2-430	cin2	0.2368	0
tub2-430	crm1_damp	0.1148	0.0021564705882352944
tub2-430	yrb2_damp	0.0873	0.02568535031847134
act1-3	act1-119	0.4472	0
act1-3	act1-155	0.3722	0
act1-3	act1-125	0.36870000000000003	0
act1-3	act1-136	0.4514	0
act1-3	act1-112	0.4464	0
act1-3	act1-124	0.3137	0
act1-3	act1-121	0.3985	0
act1-3	irr1-1	0.1039	0.014376470588235293
act1-3	arc15-10	0.2186	0
act1-3	cof1-8	0.2494	0
act1-3	ccz1	0.15310000000000001	0
act1-3	boi2	0.1227	0
act1-3	mon1	0.1336	0
act1-3	lst7	0.1309	0
act1-3	iki1	0.0972	0.03070994764397906
act1-3	cap2	0.2424	0
act1-3	cap1	0.3813	0
act1-3	arc18	0.3681	0
act1-3	ypt7	0.1184	0.003106779661016949
act1-3	bni1	0.256	0
D79S	med8-51	0.1736	0
D79S	mcd1-73	0.1198	0.002262962962962963
D79S	mps1-3796	0.1557	0
D79S	mps1-417	0.1705	0
D79S	yrb1-51	0.2502	0
D79S	scc2-4	0.2417	0
D79S	rba50-5001	0.0905	0.02720859375
D79S	ntf2-h104y	0.309	0
D79S	ntf2-5001	0.2171	0
D79S	scc4-4	0.1488	0
D79S	pab1-5001	0.1566	0
D79S	pab1-5002	0.103	0.007223645320197045
D79S	smc1-2	0.1312	0
D79S	smc1-259	0.1945	0
D79S	tub2-430	0.0859	0.03357142857142857
D79S	nup145-r4	0.252	0
D79S	spc105-15	0.2714	0
D79S	spc105-4	0.1755	0
D79S	srm1-g282s	0.1652	0
D79S	srm1-ts	0.3085	0
D79S	cdc20-1	0.1405	0
D79S	cse1-5002	0.3022	0
D79S	nup57-5001	0.115	0.002262962962962963
D79S	nup57-e17	0.3341	0
D79S	med6-5001	0.1389	0
D79S	dsn1-7	0.207	0
D79S	dsn1-8	0.2421	0
D79S	nup82-5004	0.2336	0
D79S	smc3-1	0.2104	0
D79S	smc3-42	0.1777	0
D79S	nnf1-77	0.101	0.010136405529953915
D79S	kap95-e126k	0.4146	0
D79S	med11-ts	0.1357	0
D79S	rna1-1	0.089	0.03357142857142857
D79S	rna1-s116f	0.1081	0.005912903225806451
D79S	srp1-5001	0.2343	0
D79S	med7-163	0.0974	0.013151569506726458
D79S	dbp5-1	0.1931	0
D79S	mex67-ts5	0.2193	0
D79S	ipl1-2	0.1303	0
D79S	cet1-2	0.0984	0.013151569506726458
D79S	cet1-15	0.0919	0.0234624
D79S	nsl1-6	0.1266	0
D79S	sgv1-23	0.108	0.007223645320197045
D79S	sgv1-35	0.1174	0.002262962962962963
D79S	nup60	0.2078	0
D79S	sus1	0.1721	0
D79S	asm4	0.2714	0
D79S	nup84	0.1363	0
D79S	nup42	0.1307	0
D79S	ume6	0.0961	0.014534801762114538
D79S	chl4	0.1358	0
D79S	sum1	0.1234	0.002262962962962963
D79S	mcm21	0.1296	0
D79S	nup157	0.1815	0
D79S	gle2	0.2308	0
D79S	mad1	0.1507	0
D79S	soh1	0.129	0
act1-3	elp4	0.0894	0.04602337662337662
act1-3	cin2	0.1336	0
act1-119	act1-155	0.5236	0
act1-119	act1-125	0.4947	0
act1-119	act1-136	0.3698	0
act1-119	act1-112	0.4351	0
act1-119	act1-124	0.4274	0
act1-119	act1-121	0.5111	0
act1-119	arc15-10	0.3619	0
act1-119	cof1-8	0.4136	0
act1-119	ccz1	0.1283	0
act1-119	mon1	0.098	0.01700721649484536
act1-119	cap2	0.215	0
act1-119	cap1	0.3524	0
act1-119	arc18	0.4393	0
act1-119	bni1	0.2794	0
act1-119	caf40	0.1324	0
act1-119	elp4	0.1664	0
act1-155	act1-125	0.5111	0
act1-155	act1-136	0.3129	0
act1-155	act1-112	0.4793	0
act1-155	act1-124	0.4181	0
act1-155	act1-121	0.49	0
act1-155	arc15-10	0.3138	0
act1-155	cof1-8	0.4126	0
act1-155	sus1	0.1077	0.009340127388535032
act1-155	ccz1	0.173	0
act1-155	boi2	0.1306	0
act1-155	arc1	0.086	0.04371
act1-155	mon1	0.1209	0.0028640625000000003
act1-155	iki1	0.095	0.03187826086956522
act1-155	cap2	0.1757	0
act1-155	cap1	0.2483	0
act1-155	arc18	0.5005	0
act1-155	ypt7	0.1215	0.0028640625000000003
act1-155	bni1	0.3131	0
act1-155	caf40	0.1117	0.007381208053691275
act1-155	elp4	0.1766	0
act1-155	crm1_damp	0.0969	0.0141
act1-125	act1-136	0.4513	0
act1-125	act1-112	0.3953	0
act1-125	act1-124	0.317	0
act1-125	act1-121	0.4168	0
act1-125	arc15-10	0.4666	0
act1-125	cof1-8	0.2984	0
act1-125	rxt3	0.0925	0.025834228187919462
act1-125	nup42	0.0996	0.013197599999999999
act1-125	arc1	0.1156	0.002249079754601227
act1-125	lst7	0.1134	0.00400655737704918
act1-125	iki1	0.1088	0.008039473684210525
act1-125	cap2	0.123	0.002249079754601227
act1-125	cap1	0.1644	0
act1-125	arc18	0.5406	0
act1-125	bni1	0.1634	0
act1-125	elp4	0.131	0
act1-125	yrb2_damp	0.1029	0.006726605504587156
act1-136	act1-112	0.38	0
act1-136	act1-124	0.2571	0
act1-136	act1-121	0.3615	0
act1-136	arc15-10	0.3401	0
act1-136	dsn1-8	0.0987	0.011314814814814816
act1-136	ssl1-t242i	0.1229	0
act1-136	rxt2	0.1679	0
act1-136	mad1	0.0952	0.013092857142857142
act1-136	lst7	0.1181	0.0016008733624454149
act1-136	mpc2	0.1302	0
act1-136	iki1	0.116	0.0028866141732283466
act1-136	cap2	0.1206	0.0016008733624454149
act1-136	sds3	0.1415	0
act1-136	cap1	0.186	0
act1-136	zrt3	0.1	0.0094
act1-136	ssa2	0.1444	0
act1-136	arc18	0.2765	0
act1-136	sap30	0.1446	0
act1-136	pho23	0.1891	0
act1-136	caf40	0.1809	0
act1-136	elp4	0.1445	0
act1-136	cin2	0.1051	0.00623469387755102
act1-112	act1-124	0.3111	0
act1-112	act1-121	0.4364	0
act1-112	irr1-1	0.0847	0.04623783783783784
act1-112	arc15-10	0.2425	0
act1-112	rho3-1	0.0931	0.026687356321839082
act1-112	cof1-8	0.3205	0
act1-112	ccz1	0.1324	0
act1-112	boi2	0.0825	0.045825000000000005
act1-112	deg1	0.1025	0.00975
act1-112	arc1	0.0912	0.026687356321839082
act1-112	mon1	0.1062	0.008192178770949722
act1-112	lst7	0.144	0
act1-112	cap2	0.2016	0
act1-112	cap1	0.2325	0
act1-112	zrt3	0.1324	0
act1-112	arc18	0.4578	0
act1-112	ypt7	0.0918	0.029760885608856088
act1-112	pho23	0.1092	0.006585628742514969
act1-112	bni1	0.3912	0
act1-112	caf40	0.1751	0
act1-112	elp4	0.179	0
act1-112	cin2	0.085	0.04481943573667711
act1-124	act1-121	0.4183	0
act1-124	arc15-10	0.2923	0
act1-124	cof1-8	0.2773	0
act1-124	ccz1	0.1161	0.004730322580645162
act1-124	boi2	0.0854	0.039703971119133576
act1-124	mon1	0.0972	0.015786602870813397
act1-124	urm1	0.1204	0.0025458333333333335
act1-124	cap2	0.1668	0
act1-124	cap1	0.2731	0
act1-124	dnm1	0.0858	0.041600000000000005
act1-124	ssa2	0.1264	0
act1-124	arc18	0.3169	0
act1-124	ypt7	0.1085	0.008575438596491227
act1-124	bni1	0.3144	0
act1-124	caf40	0.137	0
act1-124	elp4	0.1431	0
act1-124	yrb2_damp	0.0929	0.019727354260089685
act1-121	arc15-10	0.2697	0
act1-121	cof1-8	0.3069	0
act1-121	sus1	0.0931	0.019135714285714284
act1-121	ccz1	0.1367	0
act1-121	boi2	0.0798	0.039979012345679014
act1-121	mon1	0.113	0.0032157894736842105
act1-121	lst7	0.1103	0.0032157894736842105
act1-121	urm1	0.0848	0.03426913043478261
act1-121	cap2	0.2641	0
act1-121	cap1	0.366	0
act1-121	arc18	0.3616	0
act1-121	ypt7	0.1456	0
act1-121	bni1	0.2578	0
act1-121	caf40	0.1343	0
act1-121	elp4	0.1726	0
act1-121	cin2	0.0898	0.0235
Q147E	mps1-3796	0.1043	0.016173529411764705
Q147E	gle1-2	0.1618	0
Q147E	gle1-4	0.1547	0
Q147E	yrb1-51	0.1942	0
Q147E	ntf2-h104y	0.2101	0
Q147E	ntf2-5001	0.2044	0
Q147E	nup145-r4	0.2865	0
Q147E	srm1-g282s	0.1524	0
Q147E	srm1-ts	0.2142	0
Q147E	cse1-5002	0.148	0
Q147E	nup57-5001	0.1591	0
Q147E	nup57-e17	0.1864	0
Q147E	nup82-5004	0.2704	0
Q147E	kap95-e126k	0.323	0
Q147E	rna1-s116f	0.1139	0.003559223300970874
Q147E	srp1-5001	0.1417	0
Q147E	dbp5-1	0.3063	0
Q147E	mex67-ts5	0.1748	0
Q147E	nup60	0.1581	0
Q147E	sus1	0.1547	0
Q147E	rxt3	0.1219	0
Q147E	asm4	0.2701	0
Q147E	nup84	0.1276	0
Q147E	nup42	0.167	0
Q147E	nup157	0.1646	0
Q147E	gle2	0.1875	0
Q147E	srb2	0.1002	0.022444897959183672
Q147E	thp2	0.2347	0
Q147E	mog1	0.1817	0
Q147E	nup133	0.1505	0
Q147E	pom34	0.264	0
Q147E	nup2	0.2688	0
Q147E	nup188	0.2765	0
Q147E	pom152	0.3046	0
Q147E	nup53	0.2371	0
Q147E	crm1_damp	0.1269	0
nup145-r4	spc105-15	0.1433	0
nup145-r4	spc105-4	0.1424	0
nup145-r4	srm1-g282s	0.1171	0.001970967741935484
nup145-r4	srm1-ts	0.1351	0
nup145-r4	ceg1-ts	0.0896	0.025662
nup145-r4	ceg1-34	0.1842	0
nup145-r4	cse1-5002	0.1585	0
nup145-r4	nup57-5001	0.1637	0
nup145-r4	nup57-e17	0.3476	0
nup145-r4	med6-ts	0.1091	0.005237142857142856
nup145-r4	med6-5001	0.1217	0.001970967741935484
nup145-r4	irr1-1	0.0853	0.04465665722379604
nup145-r4	dsn1-7	0.1177	0.001970967741935484
nup145-r4	nup82-5005	0.1907	0
nup145-r4	nup82-5004	0.4291	0
nup145-r4	smc3-1	0.1176	0.003684422110552764
nup145-r4	kap95-e126k	0.2695	0
nup145-r4	med11-ts	0.162	0
nup145-r4	rna1-1	0.1295	0
nup145-r4	rna1-s116f	0.2179	0
nup145-r4	srp1-5001	0.0999	0.0143203125
nup145-r4	med7-163	0.1376	0
nup145-r4	dbp5-1	0.3661	0
nup145-r4	mex67-ts5	0.3284	0
nup145-r4	ipl1-2	0.1238	0.001970967741935484
nup145-r4	cet1-2	0.0963	0.019996363636363635
nup145-r4	sgv1-80	0.1429	0
nup145-r4	sgv1-35	0.1176	0.003684422110552764
nup145-r4	nup60	0.5341	0
nup145-r4	sus1	0.2086	0
nup145-r4	ccz1	0.0946	0.026705960264900665
nup145-r4	rxt3	0.1038	0.01060413223140496
nup145-r4	asm4	0.2231	0
nup145-r4	nup84	0.1889	0
nup145-r4	nup42	0.091	0.029469453376205792
nup145-r4	mcm21	0.1097	0.006665454545454546
nup145-r4	nup157	0.207	0
nup145-r4	gle2	0.2743	0
nup145-r4	mad1	0.0811	0.046210084033613444
nup145-r4	mon1	0.0948	0.015333079847908746
nup145-r4	soh1	0.2043	0
nup145-r4	srb2	0.1686	0
nup145-r4	thp2	0.2537	0
nup145-r4	fis1	0.112	0.005237142857142856
nup145-r4	mog1	0.219	0
nup145-r4	nup100	0.1578	0
nup145-r4	nup133	0.3928	0
nup145-r4	dnm1	0.084	0.043992
nup145-r4	pom34	0.3116	0
nup145-r4	nup2	0.237	0
nup145-r4	ctf3	0.0841	0.04331585014409222
nup145-r4	nup188	0.3093	0
nup145-r4	pom152	0.2821	0
nup145-r4	nup53	0.215	0
nup145-r4	bub3	0.1088	0.006665454545454546
nup145-r4	crm1_damp	0.2168	0
spc105-15	spc105-4	0.5542	0
spc105-15	srm1-g282s	0.1925	0
spc105-15	srm1-ts	0.1701	0
spc105-15	cse1-5002	0.1825	0
spc105-15	nup57-e17	0.1166	0.0020366666666666667
spc105-15	irr1-1	0.1404	0
spc105-15	dsn1-7	0.6489	0
spc105-15	dsn1-8	0.5044	0
spc105-15	smc3-1	0.5975	0
spc105-15	smc3-42	0.4768	0
spc105-15	nnf1-77	0.4071	0
spc105-15	smc4-1	0.1196	0.0020366666666666667
spc105-15	kap95-e126k	0.2648	0
spc105-15	med11-ts	0.106	0.009605240174672488
spc105-15	rna1-s116f	0.0845	0.04772908587257618
spc105-15	srp1-5001	0.1733	0
spc105-15	dbp5-1	0.1779	0
spc105-15	mex67-ts5	0.0934	0.023936082474226805
spc105-15	ipl1-2	0.2928	0
spc105-15	nsl1-6	0.4596	0
spc105-15	nup60	0.202	0
spc105-15	sus1	0.1467	0
spc105-15	asm4	0.1199	0.0020366666666666667
spc105-15	chl4	0.2476	0
spc105-15	mcm21	0.2469	0
spc105-15	gle2	0.178	0
spc105-15	mad1	0.6582	0
spc105-15	hos2	0.0916	0.020874021352313168
spc105-15	thp2	0.0914	0.02549205298013245
spc105-15	mad2	0.7094	0
spc105-15	mog1	0.1295	0
spc105-15	nup133	0.128	0
spc105-15	pom34	0.0908	0.02549205298013245
spc105-15	nup2	0.1322	0
spc105-15	ctf3	0.2402	0
spc105-15	nup188	0.126	0
spc105-15	nup53	0.1057	0.01078235294117647
spc105-15	bub3	0.4589	0
spc105-15	ctf19	0.2514	0
spc105-15	cin2	0.1139	0.0037600000000000003
spc105-4	srm1-g282s	0.148	0
spc105-4	srm1-ts	0.1435	0
spc105-4	ceg1-ts	0.1274	0
spc105-4	ceg1-34	0.1552	0
spc105-4	cse1-5002	0.2007	0
spc105-4	nup57-e17	0.1114	0.0038589473684210525
spc105-4	med6-ts	0.0925	0.023235211267605634
spc105-4	dsn1-7	0.4802	0
spc105-4	dsn1-8	0.3947	0
spc105-4	nup82-5004	0.121	0.0021692307692307696
spc105-4	smc3-1	0.3402	0
spc105-4	smc3-42	0.3501	0
spc105-4	nnf1-77	0.2596	0
spc105-4	ssl1-t242i	0.0928	0.02241798561151079
spc105-4	smc4-1	0.0923	0.02241798561151079
spc105-4	kap95-e126k	0.2136	0
spc105-4	med11-ts	0.1289	0
spc105-4	rna1-s116f	0.1111	0.005498999999999999
spc105-4	med7-163	0.0899	0.029853420195439743
spc105-4	dbp5-1	0.1503	0
spc105-4	mex67-ts5	0.1027	0.011206113537117904
spc105-4	ipl1-2	0.2628	0
spc105-4	nsl1-6	0.2967	0
spc105-4	tfb4-5001	0.1032	0.012427118644067797
spc105-4	sgv1-80	0.1152	0.0038589473684210525
spc105-4	nup60	0.1865	0
spc105-4	sus1	0.1888	0
spc105-4	nup84	0.095	0.024354545454545455
spc105-4	ume6	0.1258	0
spc105-4	chl4	0.2154	0
spc105-4	mcm21	0.2486	0
spc105-4	gle2	0.1301	0
spc105-4	mad1	0.4165	0
spc105-4	soh1	0.1231	0
spc105-4	hos2	0.0808	0.04859827089337176
spc105-4	srb2	0.1299	0
spc105-4	mad2	0.4788	0
spc105-4	nup133	0.1178	0.0021692307692307696
spc105-4	ctf3	0.1376	0
spc105-4	bub3	0.3602	0
spc105-4	ctf19	0.2575	0
spc105-4	cin2	0.1665	0
spc105-4	crm1_damp	0.085	0.027919867549668874
srm1-g282s	srm1-ts	0.3861	0
srm1-g282s	nup57-e17	0.1053	0.017796116504854367
srm1-g282s	dsn1-7	0.2008	0
srm1-g282s	dsn1-8	0.1407	0
srm1-g282s	nup82-5004	0.1367	0
srm1-g282s	smc3-1	0.1606	0
srm1-g282s	smc3-42	0.1098	0.01543578947368421
srm1-g282s	nnf1-77	0.0978	0.03610454545454545
srm1-g282s	kap95-e126k	0.1638	0
srm1-g282s	rna1-1	0.0958	0.046436000000000005
srm1-g282s	dbp5-1	0.1073	0.017796116504854367
srm1-g282s	mex67-ts5	0.1576	0
srm1-g282s	nsl1-6	0.16	0
srm1-g282s	sus1	0.1863	0
srm1-g282s	nup157	0.1052	0.017796116504854367
srm1-g282s	gle2	0.1913	0
srm1-g282s	mad1	0.16	0
srm1-g282s	thp2	0.097	0.03610454545454545
srm1-g282s	mad2	0.1213	0.005237142857142858
srm1-g282s	mog1	0.1083	0.017796116504854367
srm1-g282s	nup133	0.141	0
srm1-g282s	pom34	0.1101	0.013092857142857142
srm1-g282s	nup2	0.1454	0
srm1-g282s	ctf3	0.1298	0
srm1-g282s	pom152	0.0956	0.04130704225352113
srm1-g282s	ctf19	0.1056	0.02270973451327434
srm1-g282s	crm1_damp	0.1189	0
srm1-ts	cse1-5002	0.1709	0
srm1-ts	nup57-e17	0.1888	0
srm1-ts	dsn1-7	0.1393	0
srm1-ts	nup82-5004	0.1472	0
srm1-ts	smc3-42	0.1171	0.0076375
srm1-ts	smc4-1	0.1019	0.02086341463414634
srm1-ts	kap95-e126k	0.1962	0
srm1-ts	srp1-5001	0.111	0.010782352941176469
srm1-ts	dbp5-1	0.1187	0.004119101123595506
srm1-ts	mex67-ts5	0.2481	0
srm1-ts	cet1-2	0.1281	0
srm1-ts	sus1	0.2029	0
srm1-ts	rxt3	0.0995	0.03307669172932331
srm1-ts	asm4	0.177	0
srm1-ts	nup157	0.1354	0
srm1-ts	gle2	0.2084	0
srm1-ts	thp2	0.2649	0
srm1-ts	mog1	0.2189	0
srm1-ts	nup133	0.1642	0
srm1-ts	pom34	0.2012	0
srm1-ts	nup2	0.2354	0
srm1-ts	nup188	0.0933	0.04706351351351351
srm1-ts	pom152	0.1558	0
srm1-ts	nup53	0.158	0
srm1-ts	crm1_damp	0.1742	0
cdc20-1	cse1-5002	0.0974	0.014376470588235293
cdc20-1	smc3-1	0.1711	0
cdc20-1	smc3-42	0.1381	0
cdc20-1	kap95-e126k	0.1161	0.0025458333333333335
cdc20-1	nup60	0.1632	0
cdc20-1	sus1	0.0946	0.02453622047244094
cdc20-1	nup84	0.1033	0.014376470588235293
cdc20-1	mcm21	0.104	0.012960606060606061
cdc20-1	gle2	0.1611	0
cdc20-1	lst7	0.1552	0
cdc20-1	nup2	0.1193	0.0025458333333333335
cdc20-1	ctf3	0.093	0.023747368421052635
cdc20-1	nup188	0.0888	0.0365340206185567
cdc20-1	bub3	0.102	0.014376470588235293
cdc20-1	ctf19	0.0897	0.03728135593220339
ceg1-ts	ceg1-34	0.3571	0
ceg1-ts	cse1-5002	0.1357	0
ceg1-ts	nup57-e17	0.2964	0
ceg1-ts	med6-ts	0.1565	0
ceg1-ts	med6-5001	0.2326	0
